dBLUE,dDVI,dEVI,dGREEN,dLSWI,dNBR,dNBR2,dNBR_,dNDRE1,dNDSI,dNDVI,dNDWI,dNIR,dPEP,dRDFI,dRED,dRED1,dRED2,dRED3,dRED4,dRVI,dSAVI,dSWIR1,dSWIR2,Landcover
-158,1467.5,1.323455949,-16,-0.004771753,1.244542153,0.813674446,-0.998570354,0.496642295,0.495846914,0.67668366,-0.440986474,1294,-5.578290464,0.034926239,-173.5,109,1070.5,1244,1324,-0.069852477,1.014886123,-541.5,-1035,1
-134.5,2230.5,1.404427714,97,0.001209776,1.211931444,0.80874053,-0.983653077,0.439515434,0.44675353,0.66052943,-0.412849763,2090,-5.459391634,0.728633751,-140.5,377,1796,2106.5,2360,-1.457267503,0.990738182,-279.5,-1084,1
-169,2538.5,1.410410746,109.5,0.022829946,1.205833263,0.819281729,-0.943033809,0.447480899,0.451620147,0.68931,-0.426325568,2366,-5.364669208,0.736605439,-172.5,385,1910,2218,2314,-1.473210879,1.033880719,-326.5,-1197,1
-198,1506,1.303898087,-39,0.04754469,1.223142576,0.80149902,-0.96209962,0.477859068,0.471814565,0.6951298,-0.465883017,1288.5,-6.074432666,0.173103445,-217.5,61.5,1015,1237,1360,-0.34620689,1.042502951,-580.5,-1255.5,1
-199,1345,1.445741374,-74,0.027689994,1.166625606,0.788343787,-0.880285649,0.497348818,0.502423129,0.73453194,-0.481318681,1086,-5.607635486,0.130394211,-259,9.5,887.5,1037.5,1097.5,-0.260788421,1.101533928,-460.5,-1047,1
-200,1584,1.319434889,-41.5,0.014791487,1.10005804,0.773425248,-0.850626882,0.441768003,0.447334988,0.6756156,-0.419774632,1317.5,-5.003476233,0.150729172,-266.5,78,1089,1264.5,1382.5,-0.301458343,1.013240341,-432.5,-1093,1
-195.5,1637.5,1.278535462,-7,0.013629108,1.159389584,0.7612599,-0.91489746,0.42477931,0.468175449,0.6767974,-0.448419398,1434,-5.666914966,0.885994925,-203.5,195,1237.5,1448,1582.5,-1.77198985,1.015032319,-406,-1212.5,1
-151.5,1935.5,1.466020707,45,0.045785847,1.21726695,0.7840823,-0.970382973,0.469655251,0.44604252,0.7040706,-0.44714023,1759,-5.623292659,-0.068275545,-176.5,230.5,1449,1752,1837,0.136551089,1.055987739,-289,-1114.5,1
-158,1620,1.283866228,30,0.015393867,1.241384114,0.78336963,-0.994047268,0.47788905,0.462959489,0.6833296,-0.446092399,1474.5,-6.306010865,1.12762378,-145.5,190.5,1288,1548.5,1599.5,-2.25524756,1.024865039,-392.5,-1073,1
-124,2611,1.49526491,122.5,0.006359893,1.161097743,0.791178947,-0.920008573,0.425219671,0.443328145,0.66799575,-0.406651686,2444,-5.270767632,0.47637637,-167,443.5,2016,2383.5,2486.5,-0.95275274,1.001927619,-228.5,-1107,1
-130,2176.5,1.492354087,65.5,0.073138535,1.16784548,0.76820001,-0.92242839,0.43630702,0.38986357,0.6733637,-0.397078669,1999,-5.554684841,0.103966236,-177.5,256.5,1495.5,1881,1965,-0.207932472,1.009978928,-246.5,-971,1
-132,1112,1.402052261,-72,-0.078822716,1.188223204,0.724935804,-1.007729402,0.478334512,0.530360949,0.67604727,-0.460545478,923,-3.529501415,0.701815,-189,100.5,981,991,1234,-1.40363,1.013834586,-491,-1140.5,1
-129.5,2169,1.533736313,69,0.039441031,1.233451163,0.808754742,-0.980720754,0.460416307,0.43502713,0.6864662,-0.408796402,1983,-4.717658049,0.788211624,-186,267.5,1484,1755.5,1861.5,-1.576423249,1.02961842,-402,-1176.5,1
