中型车流量,数据时间,大车流量,平均车速,监测点id,微型车流量,长车流量,车头距,id,车流量,平均占道率,轻型车流量
1496,"01-4月 -21 12.00.00.000000000 上午",0,"9.3599999999999994E+001",1001,10321,2097,0,21193,13914,"9.0999999999999996E+000",0
1184,"09-4月 -21 12.00.00.000000000 上午",0,"8.3E+001",1001,7447,1351,0,21206,9982,"9.1999999999999993E+000",0
271,"17-4月 -21 12.00.00.000000000 上午",0,"8.7200000000000003E+001",1001,1933,299,0,21321,2503,"5.2000000000000002E+000",0
1412,"27-3月 -21 12.00.00.000000000 上午",0,"8.7200000000000003E+001",1001,10201,1687,0,21188,13300,"8.5E+000",0
480,"25-4月 -21 12.00.00.000000000 上午",0,"9.9400000000000006E+001",1001,4851,354,0,21329,5685,"3.3999999999999999E+000",0
449,"04-4月 -21 12.00.00.000000000 上午",0,"8.5400000000000006E+001",1001,2838,572,0,21201,3859,"4.7999999999999998E+000",0
487,"03-5月 -21 12.00.00.000000000 上午",0,"9.6900000000000006E+001",1001,4705,521,0,21337,5713,"5.0E+000",0
612,"12-4月 -21 12.00.00.000000000 上午",0,"9.6E+001",1001,5287,672,0,21261,6571,"5.2000000000000002E+000",0
2157,"28-3月 -21 12.00.00.000000000 上午",0,"9.1200000000000003E+001",1001,13403,2797,0,21189,18357,"1.14E+001",0
697,"11-5月 -21 12.00.00.000000000 上午",0,"1.0459999999999999E+002",1001,7108,726,0,21345,8531,"4.2000000000000002E+000",0
388,"20-4月 -21 12.00.00.000000000 上午",0,"1.0190000000000001E+002",1001,4126,384,0,21324,4898,"3.2999999999999998E+000",0
470,"05-4月 -21 12.00.00.000000000 上午",0,"8.4799999999999997E+001",1001,3418,421,0,21202,4309,"4.4000000000000004E+000",0
1663,"19-5月 -21 12.00.00.000000000 上午",0,"1.022E+002",1001,13140,2226,0,21353,17029,"8.5999999999999996E+000",0
757,"28-4月 -21 12.00.00.000000000 上午",0,"9.0099999999999994E+001",1001,5372,603,0,21332,6732,"5.5999999999999996E+000",0
1263,"13-4月 -21 12.00.00.000000000 上午",0,"9.35E+001",1001,9484,1331,0,21281,12078,"7.2999999999999998E+000",0
2109,"26-3月 -21 12.00.00.000000000 上午",0,"8.9299999999999997E+001",1001,13591,2837,0,21187,18537,"1.26E+001",0
1041,"06-5月 -21 12.00.00.000000000 上午",0,"9.7900000000000006E+001",1001,9494,862,0,21340,11397,"5.7999999999999998E+000",0
762,"03-4月 -21 12.00.00.000000000 上午",0,"9.1E+001",1001,6715,799,0,21195,8276,"5.2000000000000002E+000",0
345,"21-4月 -21 12.00.00.000000000 上午",0,"1.02E+002",1001,3849,305,0,21325,4499,"3.2000000000000002E+000",0
1384,"14-5月 -21 12.00.00.000000000 上午",0,"9.6700000000000003E+001",1001,11516,1386,0,21348,14286,"7.5999999999999996E+000",0
1007,"11-4月 -21 12.00.00.000000000 上午",0,"9.5099999999999994E+001",1001,7266,928,0,21241,9201,"5.7000000000000002E+000",0
794,"29-4月 -21 12.00.00.000000000 上午",0,"9.5799999999999997E+001",1001,6322,643,0,21333,7759,"5.2000000000000002E+000",0
1720,"22-5月 -21 12.00.00.000000000 上午",0,"1.0190000000000001E+002",1001,14149,2347,0,21356,18216,"8.9000000000000004E+000",0
1015,"19-4月 -21 12.00.00.000000000 上午",0,"1.022E+002",1001,8415,1106,0,21323,10536,"5.9000000000000004E+000",0
3313,"29-3月 -21 12.00.00.000000000 上午",0,"9.1400000000000006E+001",1001,20277,5431,0,21190,29021,"1.75E+001",0
1117,"07-5月 -21 12.00.00.000000000 上午",0,"9.5700000000000003E+001",1001,9589,1041,0,21341,11747,"6.2999999999999998E+000",0
635,"27-4月 -21 12.00.00.000000000 上午",0,"8.5900000000000006E+001",1001,4542,553,0,21331,5730,"5.9000000000000004E+000",0
1046,"06-4月 -21 12.00.00.000000000 上午",0,"9.1599999999999994E+001",1001,7976,1108,0,21203,10130,"6.2999999999999998E+000",0
467,"05-5月 -21 12.00.00.000000000 上午",0,"9.1700000000000003E+001",1001,4138,412,0,21339,5017,"4.0E+000",0
1113,"15-5月 -21 12.00.00.000000000 上午",0,"9.8799999999999997E+001",1001,9916,1283,0,21349,12312,"6.7999999999999998E+000",0
1762,"22-3月 -21 12.00.00.000000000 上午",0,"9.85E+001",1001,13261,2005,0,21183,17028,"8.6999999999999993E+000",0
916,"14-4月 -21 12.00.00.000000000 上午",0,"9.6299999999999997E+001",1001,7798,858,0,21282,9572,"5.5E+000",0
1084,"13-5月 -21 12.00.00.000000000 上午",0,"1.0159999999999999E+002",1001,8682,853,0,21347,10619,"5.9000000000000004E+000",0
1815,"23-5月 -21 12.00.00.000000000 上午",0,"9.6700000000000003E+001",1001,13393,2380,0,21357,17588,"9.4000000000000004E+000",0
2392,"30-3月 -21 12.00.00.000000000 上午",0,"9.6799999999999997E+001",1001,15551,3469,0,21191,21412,"1.2199999999999999E+001",0
496,"22-4月 -21 12.00.00.000000000 上午",0,"1.0E+002",1001,5308,439,0,21326,6243,"3.7000000000000002E+000",0
1748,"21-5月 -21 12.00.00.000000000 上午",0,"1.03E+002",1001,14262,2433,0,21355,18443,"8.5999999999999996E+000",0
1154,"07-4月 -21 12.00.00.000000000 上午",0,"9.3700000000000003E+001",1001,8964,1112,0,21204,11230,"6.7999999999999998E+000",0
380,"30-4月 -21 12.00.00.000000000 上午",0,"9.6200000000000003E+001",1001,4331,263,0,21334,4974,"3.0E+000",0
807,"08-5月 -21 12.00.00.000000000 上午",0,"1.02E+002",1001,7707,741,0,21342,9255,"5.0E+000",0
2016,"15-4月 -21 12.00.00.000000000 上午",0,"9.8099999999999994E+001",1001,14008,2194,0,21283,18218,"9.4000000000000004E+000",0
