date,health,temperature,humidity,light_intensity,soil_temperature,soil_humidity,co2,rain
2021/1/14 18:00,1,0,22,58,20,94,1261,1
2021/1/14 19:00,1,0,21,58,20,94,1546,1
2021/1/14 20:00,1,0,21,58,19,95,1782,1
2021/1/14 21:00,1,0,20,58,18,95,1982,1
2021/1/14 22:00,1,0,20,57,18,95,2195,1
2021/1/14 23:00,1,0,20,57,17,95,2387,1
2021/1/15 0:00,1,0,19,56,17,95,2557,1
2021/1/15 1:00,1,0,19,56,17,96,2701,1
2021/1/15 2:00,1,0,19,55,16,96,2853,1
2021/1/15 3:00,1,0,19,55,16,96,2975,1
2021/1/15 4:00,1,0,19,54,16,96,3097,1
2021/1/15 5:00,1,0,18,53,16,96,3234,1
2021/1/15 6:00,1,0,18,53,16,96,3330,1
2021/1/15 7:00,1,0,18,52,16,96,3420,1
2021/1/15 8:00,1,182,17,53,16,95,3487,1
2021/1/15 9:00,1,6544,18,53,17,91,3100,1
2021/1/15 10:00,1,8697,19,53,18,89,2633,1
2021/1/15 11:00,1,7595,19,53,19,90,2357,1
2021/1/15 12:00,1,9936,19,53,20,89,2316,1
2021/1/15 13:00,1,23458,23,53,25,72,1606,1
2021/1/15 14:00,1,17553,24,52,25,70,580,1
2021/1/15 15:00,1,7364,22,52,21,86,707,1
2021/1/15 16:00,1,2923,21,52,19,88,893,1
2021/1/15 17:00,1,0,20,52,18,91,1149,1
2021/1/15 18:00,1,0,19,52,17,92,1394,1
2021/1/15 19:00,1,0,19,53,17,93,1612,1
2021/1/15 20:00,1,0,18,53,16,93,1808,1
2021/1/15 21:00,1,0,18,53,16,93,1981,1
2021/1/15 22:00,1,0,18,53,16,93,2141,1
2021/1/15 23:00,1,0,18,53,16,93,2275,1
2021/1/16 0:00,1,0,17,53,15,93,2388,1
2021/1/16 1:00,1,0,17,54,15,93,2483,1
2021/1/16 2:00,1,0,17,54,15,94,2607,1
2021/1/16 3:00,1,0,17,54,14,94,2710,1
2021/1/16 4:00,1,0,17,54,14,94,2823,1
2021/1/16 5:00,1,0,16,54,14,94,2891,1
2021/1/16 6:00,1,0,16,54,14,94,2916,1
2021/1/16 7:00,1,0,16,54,14,93,2942,1
2021/1/16 8:00,1,0,16,54,14,94,2968,1
2021/1/16 9:00,1,11667,16,55,16,90,3015,1
2021/1/16 10:00,1,28112,22,55,24,72,2587,1
2021/1/16 11:00,1,29916,25,54,25,63,1879,1
2021/1/16 12:00,1,23721,25,53,21,57,419,1
2021/1/16 13:00,1,16566,23,53,18,63,398,1
2021/1/16 14:00,1,17956,22,53,22,75,448,1
2021/1/16 15:00,1,5398,21,53,19,83,654,1
2021/1/16 16:00,1,348,19,53,17,88,886,1
2021/1/16 17:00,1,0,19,53,17,91,1142,1
2021/1/16 18:00,1,0,18,54,16,91,1377,1
2021/1/16 19:00,1,0,18,54,16,92,1581,1
2021/1/16 20:00,1,0,17,54,15,92,1764,1
2021/1/16 21:00,1,0,17,54,15,92,1926,1
2021/1/16 22:00,1,0,17,54,14,92,2073,1
2021/1/16 23:00,1,0,17,55,14,93,2224,1
2021/1/17 0:00,1,0,16,55,14,93,2364,1
2021/1/17 1:00,1,0,16,55,14,93,2474,1
2021/1/17 2:00,1,0,16,55,13,93,2596,1
2021/1/17 3:00,1,0,16,55,13,93,2702,1
2021/1/17 4:00,1,0,15,55,13,93,2786,1
2021/1/17 5:00,1,0,15,55,12,93,2837,1
2021/1/17 6:00,1,0,15,55,12,93,2872,1
2021/1/17 7:00,1,0,15,56,12,93,2902,1
2021/1/17 8:00,1,0,15,56,12,93,2982,1
2021/1/17 9:00,1,11183,16,56,16,87,2989,1
2021/1/17 10:00,1,27953,21,56,25,67,2411,1
2021/1/17 11:00,1,33385,26,55,30,58,1790,1
2021/1/17 12:00,1,34022,30,55,29,53,557,1
2021/1/17 13:00,1,31917,30,54,28,53,398,1
2021/1/17 14:00,1,24838,28,53,26,56,398,1
2021/1/17 15:00,1,13172,25,52,22,70,399,1
2021/1/17 16:00,1,3768,22,53,19,81,525,1
2021/1/17 17:00,1,0,20,53,18,88,816,1
2021/1/17 18:00,1,0,19,53,17,90,1044,1
2021/1/17 19:00,1,0,19,54,16,90,1297,1
2021/1/17 20:00,1,0,18,54,16,91,1494,1
2021/1/17 21:00,1,0,18,54,15,91,1671,1
2021/1/17 22:00,1,0,17,54,15,91,1828,1
2021/1/17 23:00,1,0,17,55,15,91,1961,1
2021/1/18 0:00,1,0,17,55,14,91,2091,1
2021/1/18 1:00,1,0,17,55,14,92,2245,1
2021/1/18 2:00,1,0,16,55,14,92,2366,1
2021/1/18 3:00,1,0,16,55,14,92,2483,1
2021/1/18 4:00,1,0,16,55,13,92,2580,1
2021/1/18 5:00,1,0,16,56,13,92,2673,1
2021/1/18 6:00,1,0,15,56,13,92,2772,1
2021/1/18 7:00,1,0,15,56,13,92,2839,1
2021/1/18 8:00,1,0,15,56,13,93,2945,1
2021/1/18 9:00,1,23192,17,56,20,81,2923,1
2021/1/18 10:00,1,39190,24,56,31,62,2562,1
2021/1/18 11:00,1,43153,31,56,35,52,1840,1
2021/1/18 12:00,1,41030,34,55,34,42,434,1
2021/1/18 13:00,1,41648,34,54,33,37,397,1
2021/1/18 14:00,1,34791,29,53,29,32,397,1
2021/1/18 15:00,1,20927,27,53,28,51,398,1
2021/1/18 16:00,1,5824,25,53,24,78,587,1
2021/1/18 17:00,1,0,23,53,21,87,902,1
2021/1/18 18:00,1,0,22,53,20,89,1205,1
2021/1/18 19:00,1,0,21,53,19,90,1476,1
2021/1/18 20:00,1,0,20,54,18,90,1729,1
2021/1/18 21:00,1,0,20,54,18,91,1931,1
2021/1/18 22:00,1,0,20,54,17,91,2124,1
2021/1/18 23:00,1,0,19,54,17,91,2286,1
2021/1/19 0:00,1,0,19,54,16,91,2425,1
2021/1/19 1:00,1,0,18,55,16,91,2536,1
2021/1/19 2:00,1,0,18,55,16,92,2639,1
2021/1/19 3:00,1,0,18,55,15,92,2737,1
2021/1/19 4:00,1,0,18,55,15,92,2846,1
2021/1/19 5:00,1,0,17,55,15,92,2948,1
2021/1/19 6:00,1,0,17,55,14,92,3025,1
2021/1/19 7:00,1,0,17,55,14,92,3101,1
2021/1/19 8:00,1,0,17,56,15,93,3209,1
2021/1/19 9:00,1,19938,19,56,20,82,3238,1
2021/1/19 10:00,1,34976,24,56,30,64,3018,1
2021/1/19 11:00,1,40806,28,55,28,43,971,1
2021/1/19 12:00,1,38923,29,55,27,36,397,1
2021/1/19 13:00,1,38234,29,54,27,35,397,1
2021/1/19 14:00,1,32607,27,54,23,34,396,1
2021/1/19 15:00,1,20363,24,53,22,40,397,1
2021/1/19 16:00,1,3520,23,53,22,70,442,1
2021/1/19 17:00,1,0,22,54,20,85,720,1
2021/1/19 18:00,1,0,21,54,19,88,997,1
2021/1/19 19:00,1,0,20,54,18,90,1307,1
2021/1/19 20:00,1,0,20,54,18,90,1561,1
